[2021-01-22T11:50:22.509739+03:00] report.INFO: incoming data calculateMortgage {"0":[],"path":"/api/public"} []
[2021-01-22T11:50:23.606128+03:00] report.INFO: incoming data calculateMortgage {"0":[],"path":"/api/public"} []
[2021-01-22T11:50:23.609841+03:00] report.INFO: incoming data calculateMortgage {"0":[],"path":"/api/public"} []
[2021-01-22T11:50:23.640991+03:00] report.INFO: incoming data calculateMortgage {"0":[],"path":"/api/public"} []
[2021-01-22T11:50:23.812732+03:00] report.INFO: incoming data calculateMortgage {"0":[],"path":"/api/public"} []
[2021-01-22T11:50:23.811527+03:00] report.INFO: incoming data calculateMortgage {"0":[],"path":"/api/public"} []
[2021-01-22T11:50:24.959885+03:00] report.INFO: incoming data calculateMortgage {"0":[],"path":"/api/public"} []
[2021-01-22T11:50:24.958255+03:00] report.INFO: incoming data calculateMortgage {"0":[],"path":"/api/public"} []
[2021-01-22T11:50:24.968290+03:00] report.INFO: incoming data calculateMortgage {"0":[],"path":"/api/public"} []
[2021-01-22T11:50:25.017391+03:00] report.INFO: incoming data calculateMortgage {"0":[],"path":"/api/public"} []
[2021-01-22T11:51:34.691901+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-22T11:51:35.121122+03:00] report.INFO: incoming data calculateMortgage {"0":[],"path":"/api/public"} []
[2021-01-22T11:51:35.805510+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T11:51:35.812378+03:00] report.INFO: incoming data intertypes {"0":{"typeId":"1"},"path":"/api/public"} []
[2021-01-22T11:51:35.821857+03:00] report.INFO: incoming data calculateMortgage {"0":[],"path":"/api/public"} []
[2021-01-22T11:51:36.177345+03:00] report.INFO: incoming data calculateMortgage {"0":[],"path":"/api/public"} []
[2021-01-22T11:51:36.214839+03:00] report.INFO: incoming data calculateMortgage {"0":[],"path":"/api/public"} []
[2021-01-22T11:51:38.813267+03:00] report.INFO: incoming data calculateMortgage {"0":[],"path":"/api/public"} []
[2021-01-22T12:01:19.734219+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-22T12:01:20.201117+03:00] report.INFO: incoming data calculateMortgage {"0":[],"path":"/api/public"} []
[2021-01-22T12:01:27.406624+03:00] report.INFO: incoming data intertypes {"0":{"typeId":"1"},"path":"/api/public"} []
[2021-01-22T12:01:27.412944+03:00] report.INFO: incoming data option {"0":{"intertype":"0","typeId":"1"},"path":"/api/public"} []
[2021-01-22T12:01:27.415661+03:00] report.INFO: incoming data calculateMortgage {"0":[],"path":"/api/public"} []
[2021-01-22T12:01:27.935613+03:00] report.INFO: incoming data calculateMortgage {"0":[],"path":"/api/public"} []
[2021-01-22T12:01:27.942559+03:00] report.INFO: incoming data calculateMortgage {"0":[],"path":"/api/public"} []
[2021-01-22T12:01:43.663412+03:00] report.INFO: incoming data calculateMortgage {"0":[],"path":"/api/public"} []
[2021-01-22T12:01:43.665795+03:00] report.INFO: incoming data calculateMortgage {"0":[],"path":"/api/public"} []
[2021-01-22T12:01:43.663916+03:00] report.INFO: incoming data calculateMortgage {"0":[],"path":"/api/public"} []
[2021-01-22T12:01:43.857139+03:00] report.INFO: incoming data calculateMortgage {"0":[],"path":"/api/public"} []
[2021-01-22T12:01:43.857501+03:00] report.INFO: incoming data calculateMortgage {"0":[],"path":"/api/public"} []
[2021-01-22T12:01:43.847737+03:00] report.INFO: incoming data calculateMortgage {"0":[],"path":"/api/public"} []
[2021-01-22T12:01:44.371382+03:00] report.INFO: incoming data calculateMortgage {"0":[],"path":"/api/public"} []
[2021-01-22T12:01:44.377790+03:00] report.INFO: incoming data calculateMortgage {"0":[],"path":"/api/public"} []
[2021-01-22T12:01:45.302682+03:00] report.INFO: incoming data calculateMortgage {"0":[],"path":"/api/public"} []
[2021-01-22T12:01:45.336257+03:00] report.INFO: incoming data calculateMortgage {"0":[],"path":"/api/public"} []
[2021-01-22T12:01:45.393363+03:00] report.INFO: incoming data calculateMortgage {"0":[],"path":"/api/public"} []
[2021-01-22T12:01:45.562683+03:00] report.INFO: incoming data calculateMortgage {"0":[],"path":"/api/public"} []
[2021-01-22T12:01:45.637130+03:00] report.INFO: incoming data calculateMortgage {"0":[],"path":"/api/public"} []
[2021-01-22T12:07:07.369339+03:00] report.INFO: incoming data types {"0":[],"path":"/api/public"} []
[2021-01-22T12:07:08.537588+03:00] report.INFO: incoming data intertypes {"0":{"typeId":"1"},"path":"/api/public"} []
